 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto, Japan           |
 Station Name           AE and related indices                       |
 IAGA CODE              AE                                           |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               AE, AU, AL, AO                               |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Definitive                                   |
 # Converted to IAGA2002 format by the International Service of      |
 #  Geomagnetic indices (ISGI, http://isgi.unistra.fr).              |
 # The values in the raw of 00:00:00.000 are the mean values         |
 #  between 00:00UT and 01:00UT, etc.                                |
 # Missing values are indicated by value 9999                        |
 # AE: Auroral Electrojet, unit 1 nT                                 |
 # AU: Auroral Electrojet Upper envelope, unit 1 nT                  |
 # AL: Auroral Electrojet Lower envelope, unit 1 nT                  |
 # AO: Auroral Electrojet mean envelope, unit 1 nT                   |
 #      ( AE = AU - AL ; A0 = (AU + AL) / 2 )                        |
 #                                                                   |
 # For more information on AE and related indices, please visit      |
 #  World Data Center for Geomagnetism (Kyoto) website:              |
 #  http://wdc.kugi.kyoto-u.ac.jp/aedir/                             |
DATE       TIME         DOY     AE     AU     AL     AO              |
1970-03-06 00:00:00.000 065    300     56   -244    -94
1970-03-06 01:00:00.000 065    266     62   -204    -71
1970-03-06 02:00:00.000 065    230    114   -116     -1
1970-03-06 03:00:00.000 065    126     90    -36     27
1970-03-06 04:00:00.000 065     50     43     -7     18
1970-03-06 05:00:00.000 065     37     31     -6     13
1970-03-06 06:00:00.000 065     49     30    -19      5
1970-03-06 07:00:00.000 065    123     42    -81    -20
1970-03-06 08:00:00.000 065    424     90   -334   -122
1970-03-06 09:00:00.000 065    380     86   -293   -103
1970-03-06 10:00:00.000 065    825    154   -672   -259
1970-03-06 11:00:00.000 065    264     99   -165    -33
1970-03-06 12:00:00.000 065    140     60    -80     -9
1970-03-06 13:00:00.000 065    114     47    -67    -10
1970-03-06 14:00:00.000 065    221     54   -167    -56
1970-03-06 15:00:00.000 065    279     80   -199    -59
1970-03-06 16:00:00.000 065    505    205   -300    -47
1970-03-06 17:00:00.000 065    593    274   -319    -23
1970-03-06 18:00:00.000 065    626    254   -372    -59
1970-03-06 19:00:00.000 065    518    229   -289    -30
1970-03-06 20:00:00.000 065    736    262   -475   -106
1970-03-06 21:00:00.000 065    704    220   -483   -131
1970-03-06 22:00:00.000 065    659     79   -580   -251
1970-03-06 23:00:00.000 065    703    138   -565   -214
1970-03-07 00:00:00.000 066    601    147   -454   -153
1970-03-07 01:00:00.000 066    465     91   -374   -141
1970-03-07 02:00:00.000 066    504    157   -347    -94
1970-03-07 03:00:00.000 066    391     84   -307   -111
1970-03-07 04:00:00.000 066    351     89   -262    -87
1970-03-07 05:00:00.000 066     79     62    -17     22
1970-03-07 06:00:00.000 066     97     54    -43      5
1970-03-07 07:00:00.000 066    210     95   -116    -11
1970-03-07 08:00:00.000 066    486    160   -326    -83
1970-03-07 09:00:00.000 066    628    144   -483   -169
1970-03-07 10:00:00.000 066    611    150   -461   -156
1970-03-07 11:00:00.000 066    500    138   -362   -111
1970-03-07 12:00:00.000 066    400    188   -212    -12
1970-03-07 13:00:00.000 066    385    121   -264    -71
1970-03-07 14:00:00.000 066    689    231   -457   -113
1970-03-07 15:00:00.000 066   1107    362   -745   -192
1970-03-07 16:00:00.000 066    587    133   -454   -161
1970-03-07 17:00:00.000 066    788    281   -507   -113
1970-03-07 18:00:00.000 066    982    276   -706   -215
1970-03-07 19:00:00.000 066    695    199   -497   -149
1970-03-07 20:00:00.000 066    266    125   -142     -9
1970-03-07 21:00:00.000 066    162    102    -60     21
1970-03-07 22:00:00.000 066    251    140   -111     14
1970-03-07 23:00:00.000 066    535    191   -344    -76
1970-03-08 00:00:00.000 067    470    212   -257    -23
1970-03-08 01:00:00.000 067    429    205   -224     -9
1970-03-08 02:00:00.000 067    557    229   -328    -49
1970-03-08 03:00:00.000 067   1023    299   -724   -213
1970-03-08 04:00:00.000 067   1189    437   -752   -157
1970-03-08 05:00:00.000 067   1220    438   -782   -172
1970-03-08 06:00:00.000 067    690    265   -425    -80
1970-03-08 07:00:00.000 067    693    310   -384    -37
1970-03-08 08:00:00.000 067    672    297   -375    -39
1970-03-08 09:00:00.000 067    414    232   -182     25
1970-03-08 10:00:00.000 067    621    190   -431   -120
1970-03-08 11:00:00.000 067    775    301   -474    -86
1970-03-08 12:00:00.000 067    587    218   -369    -75
1970-03-08 13:00:00.000 067    910    373   -536    -81
1970-03-08 14:00:00.000 067   2395    139  -2256  -1058
1970-03-08 15:00:00.000 067   1750    119  -1630   -755
1970-03-08 16:00:00.000 067    761    378   -383     -3
1970-03-08 17:00:00.000 067    643    526   -117    205
1970-03-08 18:00:00.000 067   1159    416   -743   -163
1970-03-08 19:00:00.000 067    790   -426  -1216   -821
1970-03-08 20:00:00.000 067    610    -23   -633   -328
1970-03-08 21:00:00.000 067    675    123   -552   -214
1970-03-08 22:00:00.000 067    372     47   -326   -139
1970-03-08 23:00:00.000 067    331    108   -224    -58
1970-03-09 00:00:00.000 068    258    141   -116     12
1970-03-09 01:00:00.000 068    254    115   -138    -11
1970-03-09 02:00:00.000 068    611    225   -387    -81
1970-03-09 03:00:00.000 068    803    129   -674   -272
1970-03-09 04:00:00.000 068    315     83   -233    -75
1970-03-09 05:00:00.000 068    189     97    -92      3
1970-03-09 06:00:00.000 068    178    132    -45     43
1970-03-09 07:00:00.000 068    187    126    -61     32
1970-03-09 08:00:00.000 068    201    133    -69     32
1970-03-09 09:00:00.000 068    210    130    -80     25
1970-03-09 10:00:00.000 068    401    105   -296    -95
1970-03-09 11:00:00.000 068    442     99   -343   -122
1970-03-09 12:00:00.000 068    564     45   -520   -237
1970-03-09 13:00:00.000 068    609     82   -527   -222
1970-03-09 14:00:00.000 068    469    101   -368   -133
1970-03-09 15:00:00.000 068    678     97   -581   -242
1970-03-09 16:00:00.000 068    927    207   -720   -256
1970-03-09 17:00:00.000 068    684    210   -474   -132
1970-03-09 18:00:00.000 068    250    119   -131     -6
1970-03-09 19:00:00.000 068    200    101   -100      1
1970-03-09 20:00:00.000 068    143     67    -76     -5
1970-03-09 21:00:00.000 068    203     31   -172    -70
1970-03-09 22:00:00.000 068    317     79   -238    -79
1970-03-09 23:00:00.000 068    416     47   -369   -161
1970-03-10 00:00:00.000 069    277     51   -227    -88
1970-03-10 01:00:00.000 069     88     34    -54    -10
1970-03-10 02:00:00.000 069    110     44    -66    -11
1970-03-10 03:00:00.000 069     38      0    -37    -18
1970-03-10 04:00:00.000 069     31      3    -28    -13
1970-03-10 05:00:00.000 069     30      2    -28    -13
1970-03-10 06:00:00.000 069     50     11    -39    -14
1970-03-10 07:00:00.000 069    103     25    -78    -26
1970-03-10 08:00:00.000 069    223     54   -169    -58
1970-03-10 09:00:00.000 069    131     44    -87    -21
1970-03-10 10:00:00.000 069    146     40   -106    -33
1970-03-10 11:00:00.000 069    143     23   -121    -49
1970-03-10 12:00:00.000 069     60      6    -55    -24
1970-03-10 13:00:00.000 069     31     -2    -33    -17
1970-03-10 14:00:00.000 069     35     -6    -41    -23
1970-03-10 15:00:00.000 069     41    -11    -51    -31
1970-03-10 16:00:00.000 069    125      5   -120    -58
1970-03-10 17:00:00.000 069    158     42   -116    -37
1970-03-10 18:00:00.000 069    296     59   -237    -89
1970-03-10 19:00:00.000 069    288     76   -212    -68
1970-03-10 20:00:00.000 069    325     84   -242    -79
1970-03-10 21:00:00.000 069    101     25    -76    -25
1970-03-10 22:00:00.000 069     43      9    -35    -13
1970-03-10 23:00:00.000 069     43      3    -40    -19
1970-03-11 00:00:00.000 070     41     -6    -46    -26
1970-03-11 01:00:00.000 070     39     -6    -46    -26
1970-03-11 02:00:00.000 070     38     -7    -45    -25
1970-03-11 03:00:00.000 070     40     -2    -42    -22
1970-03-11 04:00:00.000 070     49      6    -43    -19
1970-03-11 05:00:00.000 070     47      9    -38    -14
1970-03-11 06:00:00.000 070     42      4    -38    -17
1970-03-11 07:00:00.000 070     47      6    -41    -17
1970-03-11 08:00:00.000 070     47      5    -42    -18
1970-03-11 09:00:00.000 070     44      4    -40    -18
1970-03-11 10:00:00.000 070     39      1    -38    -18
1970-03-11 11:00:00.000 070     41     -1    -41    -20
1970-03-11 12:00:00.000 070     43     -2    -45    -23
1970-03-11 13:00:00.000 070     41      5    -36    -15
1970-03-11 14:00:00.000 070    100     16    -84    -34
1970-03-11 15:00:00.000 070     49      0    -49    -24
1970-03-11 16:00:00.000 070     51      0    -51    -25
1970-03-11 17:00:00.000 070     49      6    -43    -19
1970-03-11 18:00:00.000 070     50     14    -36    -11
1970-03-11 19:00:00.000 070     80     28    -52    -12
1970-03-11 20:00:00.000 070    192     39   -153    -57
1970-03-11 21:00:00.000 070    198     50   -147    -48
1970-03-11 22:00:00.000 070    182     69   -113    -21
1970-03-11 23:00:00.000 070    112     53    -59     -3
