Виток	Дата			Время московское			Время местное			Широта в град.	Долгота в град.	Высота в км	Тизм. в гамм.	Тиспр. в гамм.	Тразн. в гамм.	J	
293	1970	2	8	12	21	39,61	4	25	36,66	-25,598	285,988	457,010	21922	21922	12	-21,0	
293	1970	2	8	12	21	59,61	4	27	39,99	-26,788	286,418	458,048	21956	21954	12	-22,7	
293	1970	2	8	12	22	19,61	4	29	45,88	-27,977	286,859	459,046	22014	22006	11	-24,4	
293	1970	2	8	12	22	39,61	4	31	54,51	-29,162	287,312	460,005	22087	22075	11	-26,0	
293	1970	2	8	12	22	59,61	4	34	6,10	-30,345	287,777	460,924	22178	22164	11	-27,5	
293	1970	2	8	12	23	19,61	4	36	20,85	-31,525	288,255	461,800	22286	22270	12	-29,0	
293	1970	2	8	12	23	39,61	4	38	39,00	-32,702	288,747	462,634	22415	22395	13	-30,4	
293	1970	2	8	12	23	59,61	4	41	0,78	-33,876	289,255	463,424	22564	22538	14	-31,8	
293	1970	2	8	12	24	19,61	4	43	26,46	-35,046	289,779	464,170	22729	22697	15	-33,1	
293	1970	2	8	12	24	39,61	4	45	56,32	-36,213	290,320	464,871	22912	22876	17	-34,4	
293	1970	2	8	12	25	19,61	4	51	9,80	-38,535	291,459	466,133	23326	23284	19	-36,8	
293	1970	2	8	12	25	39,61	4	53	54,10	-39,690	292,060	466,693	23554	23518	25	-38,0	
293	1970	2	8	12	25	59,61	4	56	43,92	-40,841	292,685	467,204	23797	23765	25	-39,1	
293	1970	2	8	12	26	19,61	4	59	39,69	-41,986	293,334	467,666	24057	24031	28	-40,2	
293	1970	2	8	12	26	39,61	5	2	41,84	-43,126	294,009	468,077	24296	24314	30	-41,2	
293	1970	2	8	12	26	59,61	5	5	50,84	-44,261	294,713	468,438	24596	24612	31	-42,2	
293	1970	2	8	12	27	19,61	5	9	7,22	-45,390	295,448	468,748	24913	24927	34	-43,2	
293	1970	2	8	12	27	39,61	5	12	31,53	-46,513	296,216	469,005	25247	25258	36	-44,2	
293	1970	2	8	12	27	59,61	5	16	4,40	-47,628	297,020	469,209	25594	25604	39	-45,2	
293	1970	2	8	12	28	19,61	5	19	46,48	-48,736	297,862	469,360	25955	25961	40	-46,1	
293	1970	2	8	12	28	39,61	5	23	38,50	-49,837	298,745	469,457	26328	26330	40	-47,0	
293	1970	2	8	12	28	59,61	5	27	41,25	-50,928	299,674	469,500	26684	26714	43	-47,9	
293	1970	2	8	12	29	19,61	5	31	55,58	-52,010	300,650	469,487	27071	27103	42	-48,8	
293	1970	2	8	12	29	39,61	5	36	22,42	-53,083	301,678	469,418	27441	27505	44	-49,7	
293	1970	2	8	12	29	59,61	5	41	2,81	-54,144	302,763	469,294	27891	27907	40	-50,5	
293	1970	2	8	12	30	19,61	5	45	57,83	-55,193	303,909	469,113	28329	28319	40	-51,4	
293	1970	2	8	12	30	39,61	5	51	8,70	-56,229	305,121	468,875	28734	28734	39	-52,2	
293	1970	2	8	12	30	59,61	5	56	36,71	-57,250	306,405	468,581	29160	29150	37	-53,0	
293	1970	2	8	12	31	19,61	6	2	23,27	-58,256	307,765	468,228	29583	29565	34	-53,8	
293	1970	2	8	12	31	39,61	6	8	29,89	-59,245	309,210	467,818	29973	29981	33	-54,6	
293	1970	2	8	12	31	59,61	6	14	58,21	-60,214	310,744	467,350	30398	30391	31	-55,4	
293	1970	2	8	12	32	19,61	6	21	49,94	-61,163	312,376	466,824	30799	30797	29	-56,1	
293	1970	2	8	12	32	39,61	6	29	6,91	-62,088	314,114	466,240	31190	31195	25	-56,8	
293	1970	2	8	13	2	19,61	15	53	49,32	4,696	87,874	286,507	35046	35071	1	-11,4	
293	1970	2	8	13	2	39,61	15	55	34,84	5,968	88,230	285,094	35026	35046	-1	-8,4	
293	1970	2	8	13	2	59,61	15	57	20,90	7,241	88,589	283,739	35049	35067	-3	-5,4	
293	1970	2	8	13	3	19,61	15	59	7,59	8,513	88,950	282,442	35121	35139	-4	-2,3	
293	1970	2	8	13	3	39,61	16	0	55,03	9,785	89,314	281,203	35243	35263	-1	0,7	
293	1970	2	8	13	4	19,61	16	4	32,61	12,329	90,054	278,905	35647	35659	0	6,8	
293	1970	2	8	13	4	39,61	16	6	22,98	13,601	90,431	277,845	35930	35936	3	9,8	
293	1970	2	8	13	5	19,61	16	10	7,51	16,142	91,200	275,907	36642	36633	6	15,8	
293	1970	2	8	13	5	39,61	16	12	1,93	17,411	91,593	275,029	37067	37050	9	18,7	
293	1970	2	8	13	5	59,61	16	13	57,97	18,679	91,993	274,212	37537	37511	11	21,5	
293	1970	2	8	13	6	19,61	16	15	55,77	19,946	92,401	273,456	38036	38008	12	24,3	
293	1970	2	8	13	6	39,61	16	17	55,50	21,212	92,816	272,761	38569	38541	14	27,0	
293	1970	2	8	13	7	39,61	16	24	7,87	25,001	94,118	271,042	40331	40315	22	34,6	
293	1970	2	8	13	7	59,61	16	26	17,00	26,261	94,572	270,591	40954	40948	24	36,9	
293	1970	2	8	13	8	19,61	16	28	28,96	27,518	95,039	270,199	41594	41595	25	39,2	
293	1970	2	8	13	8	39,61	16	30	43,97	28,773	95,518	269,868	42245	42252	27	41,4	
293	1970	2	8	13	8	59,61	16	33	2,25	30,025	96,011	269,596	42908	42915	28	43,6	
293	1970	2	8	13	9	19,61	16	35	24,07	31,275	96,519	269,384	43574	43576	27	45,6	
293	1970	2	8	13	9	39,61	16	37	49,68	32,522	97,042	269,230	44243	44240	29	47,6	
293	1970	2	8	13	9	59,61	16	40	19,37	33,766	97,582	269,135	44900	44894	29	49,4	
293	1970	2	8	13	10	19,61	16	42	53,45	35,006	98,141	269,097	45546	45538	27	51,3	
293	1970	2	8	13	10	39,61	16	45	32,24	36,243	98,719	269,116	46174	46170	26	53,0	
293	1970	2	8	13	10	59,61	16	48	16,11	37,475	99,319	269,192	46790	46786	24	54,7	
293	1970	2	8	13	11	19,61	16	51	5,43	38,704	99,941	269,324	47386	47382	22	56,3	
293	1970	2	8	13	11	39,61	16	54	0,63	39,927	100,588	269,511	47938	47960	22	57,8	
293	1970	2	8	13	11	59,61	16	57	2,17	41,146	101,261	269,752	48494	48510	19	59,3	
293	1970	2	8	13	12	19,61	17	0	10,52	42,359	101,962	270,047	49030	49036	17	60,7	
