Listing for omni2 data from 19700306 to 19700310
Selected parameters:
 1 Scalar B, nT
 2 BX, nT (GSE, GSM)
 3 BY, nT (GSM)
 4 BZ, nT (GSM)
 5 SW Plasma Temperature, K
 6 SW Proton Density, N/cm^3
 7 SW Plasma Speed, km/s
 8 Flow pressure
 9 E elecrtric field 
10 Plasma Beta

YEAR DOY HR    1     2     3     4        5     6     7     8      9     10 
1970  65  0 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  65  1 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  65  2 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  65  3 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  65  4 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  65  5 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  65  6 999.9 999.9 999.9 999.9   83000.   4.9  420.  1.73 999.99 999.99
1970  65  7 999.9 999.9 999.9 999.9  130000.   3.2  418.  1.12 999.99 999.99
1970  65  8 999.9 999.9 999.9 999.9   96000.   3.9  430.  1.44 999.99 999.99
1970  65  9 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  65 10 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  65 11 999.9 999.9 999.9 999.9   18000.   3.4  448.  1.36 999.99 999.99
1970  65 12 999.9 999.9 999.9 999.9   45000.   3.2  441.  1.24 999.99 999.99
1970  65 13 999.9 999.9 999.9 999.9   22000.   1.8  446.  0.72 999.99 999.99
1970  65 14 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  65 15 999.9 999.9 999.9 999.9   49000.   3.7  439.  1.43 999.99 999.99
1970  65 16 999.9 999.9 999.9 999.9   35000.   2.5  441.  0.97 999.99 999.99
1970  65 17 999.9 999.9 999.9 999.9   72000.   1.4  449.  0.56 999.99 999.99
1970  65 18 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  65 19 999.9 999.9 999.9 999.9   37000.   1.2  430.  0.44 999.99 999.99
1970  65 20 999.9 999.9 999.9 999.9   39000.   1.4  441.  0.54 999.99 999.99
1970  65 21 999.9 999.9 999.9 999.9   56000.   1.9  460.  0.80 999.99 999.99
1970  65 22 999.9 999.9 999.9 999.9   78000.   2.3  443.  0.90 999.99 999.99
1970  65 23 999.9 999.9 999.9 999.9   86000.   2.8  462.  1.20 999.99 999.99
1970  66  0 999.9 999.9 999.9 999.9  135000.   3.2  455.  1.32 999.99 999.99
1970  66  1 999.9 999.9 999.9 999.9  134000.   2.8  452.  1.14 999.99 999.99
1970  66  2 999.9 999.9 999.9 999.9  107000.   2.4  461.  1.02 999.99 999.99
1970  66  3 999.9 999.9 999.9 999.9   55000.   1.6  476.  0.73 999.99 999.99
1970  66  4 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  66  5 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
